,Lat,Lon,Alt
1854,33.39,-69.1,0.0
1855,33.39,-68.6,0.0
1856,33.39,-68.1,0.0
1857,33.39,-67.6,0.0
1858,33.39,-67.1,0.0
1859,33.39,-66.6,0.0
1860,32.89,-128.1,0.0
1861,32.89,-127.6,0.0
1862,32.89,-127.1,0.0
1863,32.89,-126.6,0.0
1864,32.89,-126.1,0.0
1865,32.89,-125.6,0.0
1866,32.89,-125.1,0.0
1867,32.89,-124.6,0.0
1868,32.89,-124.1,0.0
1869,32.89,-123.6,0.0
1870,32.89,-123.1,0.0
1871,32.89,-122.6,0.0
1872,32.89,-122.1,0.0
1873,32.89,-121.6,0.0
1874,32.89,-121.1,0.0
1875,32.89,-120.6,0.0
1876,32.89,-120.1,0.0
1877,32.89,-119.6,0.0
1878,32.89,-119.1,0.0
1879,32.89,-118.6,0.0
1880,32.89,-118.1,0.0
1881,32.89,-117.6,0.0
1882,32.89,-117.1,178.0
1883,32.89,-116.6,1185.0
1884,32.89,-116.1,151.0
1885,32.89,-115.6,0.0
1886,32.89,-115.1,61.0
1887,32.89,-114.6,250.0
1888,32.89,-114.1,268.0
1889,32.89,-113.6,116.0
1890,32.89,-113.1,219.0
1891,32.89,-112.6,322.0
1892,32.89,-112.1,435.0
1893,32.89,-111.6,440.0
1894,32.89,-111.1,987.0
1895,32.89,-110.6,1237.0
1896,32.89,-110.1,1197.0
1897,32.89,-109.6,1069.0
1898,32.89,-109.1,1279.0
1899,32.89,-108.6,1349.0
1900,32.89,-108.1,2166.0
1901,32.89,-107.6,0.0
1902,32.89,-107.1,1480.0
1903,32.89,-106.6,1673.0
1904,32.89,-106.1,1252.0
1905,32.89,-105.6,2545.0
1906,32.89,-105.1,1595.0
1907,32.89,-104.6,1125.0
1908,32.89,-104.1,1104.0
1909,32.89,-103.6,1261.0
1910,32.89,-103.1,1121.0
1911,32.89,-102.6,1022.0
1912,32.89,-102.1,945.0
1913,32.89,-101.6,898.0
1914,32.89,-101.1,809.0
1915,32.89,-100.6,634.0
1916,32.89,-100.1,516.0
1917,32.89,-99.6,477.0
1918,32.89,-99.1,372.0
1919,32.89,-98.6,313.0
1920,32.89,-98.1,317.0
1921,32.89,-97.6,273.0
1922,32.89,-97.1,173.0
1923,32.89,-96.6,138.0
1924,32.89,-96.1,143.0
1925,32.89,-95.6,133.0
1926,32.89,-95.1,118.0
1927,32.89,-94.6,109.0
1928,32.89,-94.1,71.0
1929,32.89,-93.6,79.0
1930,32.89,-93.1,101.0
1931,32.89,-92.6,48.0
1932,32.89,-92.1,20.0
1933,32.89,-91.6,27.0
1934,32.89,-91.1,31.0
1935,32.89,-90.6,30.0
1936,32.89,-90.1,80.0
1937,32.89,-89.6,116.0
1938,32.89,-89.1,143.0
1939,32.89,-88.6,80.0
1940,32.89,-88.1,43.0
1941,32.89,-87.6,101.0
1942,32.89,-87.1,102.0
1943,32.89,-86.6,200.0
1944,32.89,-86.1,220.0
1945,32.89,-85.6,223.0
1946,32.89,-85.1,196.0
1947,32.89,-84.6,261.0
1948,32.89,-84.1,211.0
1949,32.89,-83.6,140.0
1950,32.89,-83.1,81.0
1951,32.89,-82.6,99.0
1952,32.89,-82.1,71.0
1953,32.89,-81.6,32.0
1954,32.89,-81.1,30.0
1955,32.89,-80.6,10.0
1956,32.89,-80.1,1.0
1957,32.89,-79.6,0.0
1958,32.89,-79.1,0.0
1959,32.89,-78.6,0.0
1960,32.89,-78.1,0.0
1961,32.89,-77.6,0.0
1962,32.89,-77.1,0.0
1963,32.89,-76.6,0.0
1964,32.89,-76.1,0.0
1965,32.89,-75.6,0.0
1966,32.89,-75.1,0.0
1967,32.89,-74.6,0.0
1968,32.89,-74.1,0.0
1969,32.89,-73.6,0.0
1970,32.89,-73.1,0.0
1971,32.89,-72.6,0.0
1972,32.89,-72.1,0.0
1973,32.89,-71.6,0.0
1974,32.89,-71.1,0.0
1975,32.89,-70.6,0.0
1976,32.89,-70.1,0.0
1977,32.89,-69.6,0.0
1978,32.89,-69.1,0.0
1979,32.89,-68.6,0.0
1980,32.89,-68.1,0.0
1981,32.89,-67.6,0.0
1982,32.89,-67.1,0.0
1983,32.89,-66.6,0.0
1984,32.39,-128.1,0.0
1985,32.39,-127.6,0.0
1986,32.39,-127.1,0.0
1987,32.39,-126.6,0.0
1988,32.39,-126.1,0.0
